Date,Measurement tool,Site,1,2,3,4,5,6,7,8,9,Max Etch Rate,Min Etch Rate,Etch Rate (A/Min),"%
STDEV",% Uni,Result, Employee Code,Lot ID,Remarks,LSL,USL,LCL,UCL,% Uni USL,% Uni UCL
04/13/2017,MTOP1,Pre,28985.89,28804.77,28847.05,28810.85,28990.02,28946.31,28790.16,28798.1,29037.86,10923.54,10002.72,10579.21,305.5866572,2.888558382,Pass,1428,,,9000,15600,8090,12070,6,6
,,Post,25585.24,25283.66,25305.24,25201.57,25389.2,25612.07,25289.38,25210.34,25396.68,,,,,,,,,,,,,,,
,,ER(Å/Min),10201.95,10563.33,10625.43,10827.84,10802.46,10002.72,10502.34,10763.28,10923.54,,,,,,,,,,,,,,,
04/13/2017,MTOP1,Pre,29013.73,28818.41,28818.57,28825.06,29061.34,28965.45,28806.04,28824.86,29045.64,10201.65,9300.06,9781.41,271.718388,2.77790613,Pass,1159,Q17150058.F1,,9000,15600,8090,12070,6,6
,,Post,25865.18,25552.52,25554.48,25514.85,25784.79,25865.43,25557.54,25494.99,25645.09,,,,,,,,,,,,,,,
,,ER(Å/Min),9445.65,9797.67,9792.27,9930.63,9829.65,9300.06,9745.5,9989.61,10201.65,,,,,,,,,,,,,,,
04/18/2017,MTOP1,Pre,28950.63,28809.27,28867.4,28827.81,29066.89,28959.3,28804.95,28813.91,29043.01,10495.47,9497.16,10047.96,288.5209503,2.871438086,Pass,1335,,,9000,15600,8090,12070,6,6
,,Post,25700.12,25442.91,25512.17,25440.38,25691.61,25793.58,25481.26,25392.74,25544.52,,,,,,,,,,,,,,,
,,ER(Å/Min),9751.53,10099.08,10065.69,10162.29,10125.84,9497.16,9971.07,10263.51,10495.47,,,,,,,,,,,,,,,
04/21/2017,MTOP1,Pre,28932.78,28764.22,28756.58,28765.25,28989.67,28952.22,28763.02,28753.43,28982.25,11013.3,9826.65,10347.87,340.3706186,3.289281935,Pass,1159,Q17160093.F1,,9000,15600,8090,12070,6,6
,,Post,25590.43,25330.18,25345.09,25278.38,25508.26,25676.67,25352.46,25223.19,25311.15,,,,,,,,,,,,,,,
,,ER(Å/Min),10027.05,10302.12,10234.47,10460.61,10444.23,9826.65,10231.68,10590.72,11013.3,,,,,,,,,,,,,,,
04/25/2017,MTOP1,Pre,28938.21,28806.74,28847.23,28756.21,29011.56,28999.72,28766.68,28770.05,29053.64,11878.35,10331.88,11037.77333,472.6763182,4.282352101,Pass,1335,,,9000,15600,8090,12070,6,6
,,Post,25411.99,25104.06,25103.8,25074.56,25372.47,25555.76,25187.33,24932.56,25094.19,,,,,,,,,,,,,,,
,,ER(Å/Min),10578.66,11108.04,11230.29,11044.95,10917.27,10331.88,10738.05,11512.47,11878.35,,,,,,,,,,,,,,,
04/26/2017,MTOP1,Pre,29004.77,28805.58,28838.8,28781.72,28983.14,28970.16,28795.55,28767.37,28930.46,10755.54,9079.2,9818.106667,461.8951931,4.704524088,Pass,1159,Q17170052.F1,,9000,15600,8090,12070,6,6
,,Post,25839.29,25529.24,25574.15,25477.18,25763.59,25943.76,25572.2,25378.54,25345.28,,,,,,,,,,,,,,,
,,ER(Å/Min),9496.44,9829.02,9793.95,9913.62,9658.65,9079.2,9670.05,10166.49,10755.54,,,,,,,,,,,,,,,
05-01-17,MTOP1,Pre,24219,24706,24839,24677,24107,24178,24700,24658,24122,8916,7659,8466.333333,359.5260769,4.246538174,Fail,121,,,9000,15600,8090,12070,6,6
,,Post,21349,21815,22014,21900,21554,21206,21794,21816,21359,,,,,,,,,,,,,,,
,,ER(Å/Min),8610,8673,8475,8331,7659,8916,8718,8526,8289,,,,,,,,,,,,,,,
05-07-17,MTOP1,Pre,29276.78,29117.88,29118.92,29142.34,29352,29304.7,29129.84,29111.61,29347.37,11374.17,10128.9,10804.71667,381.7857103,3.53350969,Pass,1428,Q17190025.F1,,9000,15600,8090,12070,6,6
,,Post,25837.11,25518.54,25497.8,25468,25710.86,25928.4,25553.72,25416.88,25555.98,,,,,,,,,,,,,,,
,,ER(Å/Min),10319.01,10798.02,10863.36,11023.02,10923.42,10128.9,10728.36,11084.19,11374.17,,,,,,,,,,,,,,,
05-11-17,MTOP1,Pre,29319.26,29130.16,29146.05,29148.63,29335.25,29345.53,29147.12,29133.61,29328.22,11849.76,10292.04,11090.05667,445.1648179,4.014089659,Pass,1428,Q17190048.F1,,9000,15600,8090,12070,6,6
,,Post,25658.06,25380.62,25429.46,25426.42,25770.85,25395.61,25321.89,25483.21,25897.54,,,,,,,,,,,,,,,
,,ER(Å/Min),10983.6,11248.62,11149.77,11166.63,10693.2,11849.76,11475.69,10951.2,10292.04,,,,,,,,,,,,,,,
05/15/2017,MTOP1,Pre,29232.69,28988.35,29062.17,29080.77,29253.84,29290.88,29047.32,29039.42,29219.3,11971.89,10340.7,11166.64,476.8384165,4.270204972,Pass,1159,Q17200024.F1,,9000,15600,8090,12070,6,6
,,Post,25671.14,25309.41,25285.9,25261.74,25509.5,25843.98,25387.06,25217.42,25228.67,,,,,,,,,,,,,,,
,,ER(Å/Min),10684.65,11036.82,11328.81,11457.09,11233.02,10340.7,10980.78,11466,11971.89,,,,,,,,,,,,,,,
05/20/2017,MTOP1,Pre,29208.25,29055.55,29093.47,29048.56,29271.49,29183.05,29051.96,29044.49,29274.6,11785.41,10097.79,10986.37667,471.397095,4.290742155,Pass,1428,Q17200066.F1,,9000,15600,8090,12070,6,6
,,Post,25668.38,25372.47,25408.6,25338.84,25627.69,25817.12,25443.05,25250.01,25346.13,,,,,,,,,,,,,,,
,,ER(Å/Min),10619.61,11049.24,11054.61,11129.16,10931.4,10097.79,10826.73,11383.44,11785.41,,,,,,,,,,,,,,,
05/25/2017,MTOP1,Pre,29116,28971,28968,28980,29193,29146,28970,28964,29208,9903,8208,8935.666667,527.1302021,5.89917039,Fail,121,,,9000,15600,8090,12070,6,6
,,Post,26325,26037,26039,25931,26138,26410,26091,25831,25907,,,,,,,,,,,,,,,
,,ER(Å/Min),8373,8802,8787,9147,9165,8208,8637,9399,9903,,,,,,,,,,,,,,,
05/20/2017,MTOP1,Pre,29182,28995,29044,28988,29185,29178,29002,29892,29180,13011,9396,10302.33333,1074.828707,10.43286674,Fail,,,,9000,15600,8090,12070,6,6
,,Post,25982,25694,25682,25605,25841,26046,25704,25555,25630,,,,,,,,,,,,,,,
,,ER(Å/Min),9600,9903,10086,10149,10032,9396,9894,13011,10650,,,,,,,,,,,,,,,
06-01-17,MTOP1,Pre,29118.15,28948.59,28993.37,28951.85,29137.82,29120,28938.03,28940.83,29137.21,10242.48,8570.37,9368.583333,515.5407181,5.5028674,Fail,1159,Q17220053.F1,,9000,15600,8090,12070,6,6
,,Post,26177.46,25872.68,25899.54,25738.22,25913.28,26263.21,25906.67,25685.99,25723.05,,,,,,,,,,,,,,,
,,ER(Å/Min),8822.07,9227.73,9281.49,9640.89,9673.62,8570.37,9094.08,9764.52,10242.48,,,,,,,,,,,,,,,
06-05-17,MTOP1,Pre,29110,28905,28888,28879,29127,29051,28892,28891,29131,10641,8976,9821.333333,479.0845437,4.877999019,Fail,1335,,,9000,15600,8090,12070,6,6
,,Post,25949,25652,25657,25544,25748,26059,25709,25508,25584,,,,,,,,,,,,,,,
,,ER(Å/Min),9483,9759,9693,10005,10137,8976,9549,10149,10641,,,,,,,,,,,,,,,
06-09-17,MTOP1,Pre,29085,28902,28890,28889,29111,29083,28887,28890,29120,9942,8442,9148.666667,450.4750271,4.923941854,Fail,121,,,9000,15600,8090,12070,6,6
,,Post,26159,25884,25891,25773,25967,26269,25936,25726,25806,,,,,,,,,,,,,,,
,,ER(Å/Min),8778,9054,8997,9348,9432,8442,8853,9492,9942,,,,,,,,,,,,,,,
06/19/2017,MTOP1,Pre,29384,29218,29260,29214,29410,29370,29196,29224,29485,12543,11067,11759.33333,474.2082876,4.032612004,Pass,1159,Q17250028.F1,2 lamps changed ,9000,15600,8090,12070,6,6
,,Post,25695,25348,25391,25190,25392,25642,25331,25190,25304,,,,,,,,,,,,,,,
,,ER(Å/Min),11067,11610,11607,12072,12054,11184,11595,12102,12543,,,,,,,,,,,,,,,
06/23/2017,MTOP1,Pre,29334,29135,29126,29115,29327,29285,29112,29126,29361,11430,9378,10369.66667,575.8654357,5.553364965,Pass,1159,Q17250064.F1,,9000,15600,8090,12070,6,6
,,Post,26010,25693,25698,25594,25825,26159,25766,25516,25551,,,,,,,,,,,,,,,
,,ER(Å/Min),9972,10326,10284,10563,10506,9378,10038,10830,11430,,,,,,,,,,,,,,,
06/29/2017,MTOP1,Pre,29276.03,29104.69,29076.56,29090.07,29319.35,29267.06,29083.6,29098.88,29354.13,10750.17,9159.27,9983.7,475.4057194,4.761818959,Pass,64,,,9000,15600,8090,12070,6,6
,,Post,25863.17,25684.04,25778.37,25773.6,26151.19,25683.67,25642.67,25841.52,26301.04,,,,,,,,,,,,,,,
,,ER(Å/Min),10238.58,10261.95,9894.57,9949.41,9504.48,10750.17,10322.79,9772.08,9159.27,,,,,,,,,,,,,,,
06/29/2017,MTOP1,Pre,29227.4,29041.31,29091.86,29043.77,29222.82,29194.34,29035.5,29029.07,29268.62,10761.78,9209.16,10007.18667,456.6896813,4.563617094,Pass,1428,Q17270030.F1,,9000,15600,8090,12070,6,6
,,Post,26045.53,25720.85,25777.53,25622.6,25812.11,26124.62,25758.36,25590.17,25681.36,,,,,,,,,,,,,,,
,,ER(Å/Min),9545.61,9961.38,9942.99,10263.51,10232.13,9209.16,9831.42,10316.7,10761.78,,,,,,,,,,,,,,,
07-07-17,MTOP1,Pre,29247.01,29040.79,29100,29018.84,29215.29,29180.16,29010.55,29027.06,29227.07,10580.82,8956.59,9656.486667,503.6114351,5.215265681,Fail,1428,Q17290068.F1,,9000,15600,8090,12070,6,6
,,Post,25931.46,25733.37,25912.2,25860.67,26229.76,25653.22,25699.62,25861.64,26215.37,,,,,,,,,,,,,,,
,,ER(Å/Min),9946.65,9922.26,9563.4,9474.51,8956.59,10580.82,9932.79,9496.26,9035.1,,,,,,,,,,,,,,,
07/17/2017,MTOP1,Pre,29108.83,28938.04,28918.4,28938.29,29160.75,29128.04,28935.66,28926.63,29145.06,10484.91,8838.57,9578.396667,498.0849572,5.200086972,Fail,102,Q17290067.F1,,9000,15600,8090,12070,6,6
,,Post,26053.47,25804.84,25792.14,25672.23,25845.68,26181.85,25839.42,25624.79,25650.09,,,,,,,,,,,,,,,
,,ER(Å/Min),9166.08,9399.6,9378.78,9798.18,9945.21,8838.57,9288.72,9905.52,10484.91,,,,,,,,,,,,,,,
07/21/2017,MTOP1,Pre,29057.17,28928.43,28902.72,28914.09,29081.83,29102.75,28915.08,28923.66,29157.3,10339.53,8936.79,9501.513333,465.8835711,4.90325651,Fail,1428,,,9000,15600,8090,12070,6,6
,,Post,25745.59,25687.58,25808.97,25808.7,26102.9,25656.24,25674.8,25816.38,26177.33,,,,,,,,,,,,,,,
,,ER(Å/Min),9934.74,9722.55,9281.25,9316.17,8936.79,10339.53,9720.84,9321.84,8939.91,,,,,,,,,,,,,,,
07/24/2017,MTOP1,Pre,29060.65,28888.45,28875.17,28885.98,29084.38,29049.96,28875.72,28898.37,29117.11,10455.33,8874.48,9546.666667,478.4964733,5.012183729,Fail,121,Q17300011.F1,,9000,15600,8090,12070,6,6
,,Post,26026.35,25757.4,25766.69,25638.53,25800.9,26091.8,25771.25,25610.87,25632,,,,,,,,,,,,,,,
,,ER(Å/Min),9102.9,9393.15,9325.44,9742.35,9850.44,8874.48,9313.41,9862.5,10455.33,,,,,,,,,,,,,,,
07/28/2017,MTOP1,Pre,29124.11,28923.22,28896,28900.27,29111.44,29084.03,28903.13,28905.57,29108.62,10657.26,8970.81,9763.01,471.7010426,4.831512439,Fail,102,Q17310030.F1,,9000,15600,8090,12070,6,6
,,Post,25972.68,25688.46,25683.26,25592.68,25797.65,26093.76,25740.04,25542.63,25556.2,,,,,,,,,,,,,,,
,,ER(Å/Min),9454.29,9704.28,9638.22,9922.77,9941.37,8970.81,9489.27,10088.82,10657.26,,,,,,,,,,,,,,,
08-01-17,MTOP1,Pre,29341.4,29181.41,29240.08,29192.82,29441.74,29345.15,29187.13,29175.75,29419.57,10393.59,8799.87,9497.97,478.4084155,5.036954376,Fail,1159,Q17310047.F1,,9000,15600,8090,12070,6,6
,,Post,26303.4,26066.49,26133.68,25961.66,26168.97,26411.86,26125.54,25904.5,25955.04,,,,,,,,,,,,,,,
,,ER(Å/Min),9114,9344.76,9319.2,9693.48,9818.31,8799.87,9184.77,9813.75,10393.59,,,,,,,,,,,,,,,
08-05-17,MTOP1,Pre,29073.64,28879.81,28922.49,28872.63,29048.49,28991.28,28862.25,28878.85,29121.34,11435.07,9875.16,10587.01,428.9933215,4.052072507,Pass,1534,,,9000,15600,8090,12070,6,6
,,Post,25637.41,25376.25,25434.54,25285.63,25477.87,25699.56,25401.07,25267.77,25309.65,,,,,,,,,,,,,,,
,,ER(Å/Min),10308.69,10510.68,10463.85,10761,10711.86,9875.16,10383.54,10833.24,11435.07,,,,,,,,,,,,,,,
08-07-17,MTOP1,Pre,29331.66,29116.71,29122.67,29103.23,29359.05,29297.66,29114.38,29094.67,29313.33,10256.22,8756.55,9534.043333,454.8514547,4.770813797,Fail,1428, Q17320026.F1,Total 06 Lamps Changed,9000,15600,8090,12070,6,6
,,Post,26251.46,25984.04,25998.11,25833.43,26042.11,26378.81,26034.91,25833.77,25894.59,,,,,,,,,,,,,,,
,,ER(Å/Min),9240.6,9398.01,9373.68,9809.4,9950.82,8756.55,9238.41,9782.7,10256.22,,,,,,,,,,,,,,,
08-10-17,MTOP1,Pre,28969.24,28838.85,28842.01,28829.34,29046.62,29116.63,28843.23,28816.71,29091.18,10470.54,8533.53,9121,603.3696766,6.615170229,Fail,1428,Q17320063.F1 ,QC Failed due to minimum ER is less than 9000,9000,15600,8090,12070,6,6
,,Post,26124.73,25892.42,25905.29,25754.59,25862.96,26257.04,25890.95,25741.83,25601,,,,,,,,,,,,,,,
,,ER(Å/Min),8533.53,8839.29,8810.16,9224.25,9550.98,8578.77,8856.84,9224.64,10470.54,,,,,,,,,,,,,,,
08/22/2017,MTOP1,Pre,28936.14,28815.5,28865.48,28828.76,29035.41,28997.56,28810.43,28810.55,29040.46,9865.47,8128.44,8989.18,527.0957856,5.863669273,Fail,1159,,,9000,15600,8090,12070,6,6
,,Post,26097.01,25858.64,25911.87,25740.44,25914.37,26288.08,25921.42,25688.95,25751.97,,,,,,,,,,,,,,,
,,ER(Å/Min),8517.39,8870.58,8860.83,9264.96,9363.12,8128.44,8667.03,9364.8,9865.47,,,,,,,,,,,,,,,
08/22/2017,MTOP1,Pre,29175,29011,29055,29017,29231,29173,28995,29009,29190,9507,8124,9067.333333,448.3648068,4.944836484,Fail,1159,Q17340033.F1, QC Failed due to minimum ER is  8124,9000,15600,8090,12070,6,6
,,Post,26467,26079,26018,25871,26082,26247,25979,25890,26021,,,,,,,,,,,,,,,
,,ER(Å/Min),8124,8796,9111,9438,9447,8778,9048,9357,9507,,,,,,,,,,,,,,,
08/23/2017,MTOP1,Pre,29258.09,29048.79,29074.87,29029.46,29215.74,29193.09,29028.5,29017.27,29241.13,9700.41,8274.72,8979.1,467.7286278,5.209081398,Fail,1159,,lamp current increased .,9000,15600,8090,12070,6,6
,,Post,26437.09,26111.73,26119.59,25931.08,26088.08,26434.85,26120.12,25919.44,26007.66,,,,,,,,,,,,,,,
,,ER(Å/Min),8463,8811.18,8865.84,9295.14,9382.98,8274.72,8725.14,9293.49,9700.41,,,,,,,,,,,,,,,
08/23/2017,MTOP1,Pre,29200.39,29035.67,29024.31,29040.56,29275.55,29224.38,29020.83,29025.44,29253.57,15819.63,12386.76,14267.83333,1041.373644,7.298751112,Fail,1159,,lamp current increased by 1.5 mA compared to previous result,9000,15600,8090,12070,6,6
,,Post,24792.07,24342.68,24219.95,24064.86,24368.22,25095.46,24437.88,23995.72,23980.36,,,,,,,,,,,,,,,
,,ER(Å/Min),13224.96,14078.97,14413.08,14927.1,14721.99,12386.76,13748.85,15089.16,15819.63,,,,,,,,,,,,,,,
08/23/2017,MTOP1,Pre,29171.13,29022.94,29076.63,29016.43,29246.7,29169.18,28993.44,29016.55,29251.86,9993.81,8432.88,9253.816667,481.1296314,5.199256142,Fail,102,,lamp current decreased by 0.5 mA compared to previous result,9000,15600,8090,12070,6,6
,,Post,26257.11,25957.7,26012.03,25830.92,26066.12,26358.22,25988.73,25811.99,25920.59,,,,,,,,,,,,,,,
,,ER(Å/Min),8742.06,9195.72,9193.8,9556.53,9541.74,8432.88,9014.13,9613.68,9993.81,,,,,,,,,,,,,,,
08/24/2017,MTOP1,Pre,29264.91,29046.01,29033.96,29026.86,29261.58,29209.57,29037.96,29019.14,29232.27,13421.43,11245.23,12418.89,617.6081943,4.973135234,Pass,1159,,lamp current increased by 0.2 mA compared to previous result,9000,15600,8090,12070,6,6
,,Post,25262.78,24944.02,24936.06,24765.13,25002.16,25461.16,24988.37,24757.45,24758.46,,,,,,,,,,,,,,,
,,ER(Å/Min),12006.39,12305.97,12293.7,12785.19,12778.26,11245.23,12148.77,12785.07,13421.43,,,,,,,,,,,,,,,
